threshold,strategy,net_benefit,model
0.035,Treat all,-0.02081494446467621,O+D
0.04,Treat all,-0.026131688967096396,O+D
0.045,Treat all,-0.03150410618681941,O+D
0.05,Treat all,-0.03693307516675004,O+D
0.055,Treat all,-0.042419493553875705,O+D
0.06,Treat all,-0.04796427809405588,O+D
0.065,Treat all,-0.05356836514268721,O+D
0.07,Treat all,-0.059232711191841446,O+D
0.075,Treat all,-0.06495829341450002,O+D
0.08,Treat all,-0.07074611022653537,O+D
0.085,Treat all,-0.07659718186711753,O+D
0.09,Treat all,-0.08251255099825552,O+D
0.095,Treat all,-0.08849328332421275,O+D
0.1,Treat all,-0.0945404682315695,O+D
0.005,Treat none,0.0,O+D
0.01,Treat none,0.0,O+D
0.015,Treat none,0.0,O+D
0.02,Treat none,0.0,O+D
0.025,Treat none,0.0,O+D
0.03,Treat none,0.0,O+D
0.035,Treat none,0.0,O+D
0.04,Treat none,0.0,O+D
0.045,Treat none,0.0,O+D
0.05,Treat none,0.0,O+D
0.055,Treat none,0.0,O+D
0.06,Treat none,0.0,O+D
0.065,Treat none,0.0,O+D
0.07,Treat none,0.0,O+D
0.075,Treat none,0.0,O+D
0.08,Treat none,0.0,O+D
0.085,Treat none,0.0,O+D
0.09,Treat none,0.0,O+D
0.095,Treat none,0.0,O+D
0.1,Treat none,0.0,O+D
0.005,O+S+D,0.009619039872874716,O+S+D
0.01,O+S+D,0.006897104778211143,O+S+D
0.015,O+S+D,0.005057883501211811,O+S+D
0.02,O+S+D,0.004136084653551048,O+S+D
0.025,O+S+D,0.0024285589437871295,O+S+D
0.03,O+S+D,0.0013937089964250347,O+S+D
0.035,O+S+D,0.001306396816619038,O+S+D
0.04,O+S+D,0.0011093086229972476,O+S+D
0.045,O+S+D,0.0008243375567647124,O+S+D
0.05,O+S+D,0.0007491759211373482,O+S+D
0.055,O+S+D,0.0004627721083660352,O+S+D
0.06,O+S+D,0.000728454508525878,O+S+D
0.065,O+S+D,0.0006511628303522021,O+S+D
0.07,O+S+D,0.0005917023531354911,O+S+D
0.075,O+S+D,0.00046795328502470583,O+S+D
0.08,O+S+D,0.0004038469096269281,O+S+D
0.085,O+S+D,0.00026495791104079393,O+S+D
0.09,O+S+D,0.00026495791104079393,O+S+D
0.095,O+S+D,0.00026495791104079393,O+S+D
0.1,O+S+D,0.00026495791104079393,O+S+D
0.005,Treat all,0.009963395569434636,O+S+D
0.01,Treat all,0.004963210698573195,O+S+D
0.015,Treat all,-8.773747046957915e-05,O+S+D
0.02,Treat all,-0.005190225926951571,O+S+D
0.025,Treat all,-0.010345047598371834,O+S+D
0.03,Treat all,-0.015553011761250037,O+S+D
0.035,Treat all,-0.02081494446467621,O+S+D
0.04,Treat all,-0.026131688967096396,O+S+D
0.045,Treat all,-0.03150410618681941,O+S+D
0.05,Treat all,-0.03693307516675004,O+S+D
0.055,Treat all,-0.042419493553875705,O+S+D
0.06,Treat all,-0.04796427809405588,O+S+D
0.065,Treat all,-0.05356836514268721,O+S+D
0.07,Treat all,-0.059232711191841446,O+S+D
0.075,Treat all,-0.06495829341450002,O+S+D
0.08,Treat all,-0.07074611022653537,O+S+D
0.085,Treat all,-0.07659718186711753,O+S+D
0.09,Treat all,-0.08251255099825552,O+S+D
0.095,Treat all,-0.08849328332421275,O+S+D
0.1,Treat all,-0.0945404682315695,O+S+D
0.005,Treat none,0.0,O+S+D
0.01,Treat none,0.0,O+S+D
0.015,Treat none,0.0,O+S+D
0.02,Treat none,0.0,O+S+D
0.025,Treat none,0.0,O+S+D
0.03,Treat none,0.0,O+S+D
0.035,Treat none,0.0,O+S+D
0.04,Treat none,0.0,O+S+D
0.045,Treat none,0.0,O+S+D
0.05,Treat none,0.0,O+S+D
0.055,Treat none,0.0,O+S+D
0.06,Treat none,0.0,O+S+D
0.065,Treat none,0.0,O+S+D
0.07,Treat none,0.0,O+S+D
0.075,Treat none,0.0,O+S+D
0.08,Treat none,0.0,O+S+D
0.085,Treat none,0.0,O+S+D
0.09,Treat none,0.0,O+S+D
0.095,Treat none,0.0,O+S+D
0.1,Treat none,0.0,O+S+D
