Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.015,0.991,0.987,0.022
O,0.01,0.014,0.983,0.595,0.357
O,0.02,0.009,0.985,0.019,0.969
O,0.05,--,0.985,0.000,1.000
O+S,0.005,0.015,0.000,0.996,0.000
O+S,0.01,0.016,0.986,0.700,0.330
O+S,0.02,0.018,0.985,0.074,0.938
O+S,0.05,1.000,0.985,0.004,1.000
O+D,0.005,0.020,0.995,0.877,0.348
O+D,0.01,0.032,0.993,0.674,0.688
O+D,0.02,0.051,0.990,0.400,0.888
O+D,0.05,1.000,0.986,0.062,1.000
O+S+D,0.005,0.019,0.994,0.875,0.308
O+S+D,0.01,0.029,0.993,0.695,0.652
O+S+D,0.02,0.054,0.990,0.434,0.884
O+S+D,0.05,0.121,0.986,0.081,0.991
