Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.066,0.990,0.418,0.905
O,0.1,0.105,0.988,0.240,0.967
O,0.15,0.133,0.986,0.128,0.987
O,0.2,0.189,0.986,0.089,0.994
O+S,0.05,0.185,0.995,0.674,0.952
O+S,0.1,0.307,0.992,0.500,0.982
O+S,0.15,0.379,0.991,0.423,0.989
O+S,0.2,0.425,0.990,0.365,0.992
O+D,0.05,0.085,0.989,0.359,0.938
O+D,0.1,0.146,0.987,0.182,0.983
O+D,0.15,0.170,0.986,0.090,0.993
O+D,0.2,0.266,0.985,0.058,0.997
O+S+D,0.05,0.191,0.995,0.697,0.953
O+S+D,0.1,0.313,0.992,0.501,0.982
O+S+D,0.15,0.405,0.991,0.416,0.990
O+S+D,0.2,0.454,0.990,0.350,0.993
