Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.752,-0.703,0.907,0.015,0.066,0.990,0.105,0.988,0.133,0.986,0.189,0.986,ref
O+S,0.916,0.364,1.178,0.012,0.185,0.995,0.307,0.992,0.379,0.991,0.425,0.990,1.207
O+D,0.766,-0.123,0.998,0.015,0.085,0.989,0.146,0.987,0.170,0.986,0.266,0.985,0.090
O+S+D,0.916,0.601,1.239,0.013,0.191,0.995,0.313,0.992,0.405,0.991,0.454,0.990,1.219
