Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.099,0.980,0.943,0.241
O,0.1,0.138,0.941,0.480,0.736
O,0.15,0.173,0.926,0.157,0.933
O,0.2,0.185,0.920,0.020,0.992
O+S,0.05,0.117,0.979,0.906,0.394
O+S,0.1,0.186,0.961,0.660,0.745
O+S,0.15,0.231,0.943,0.393,0.885
O+S,0.2,0.289,0.932,0.210,0.954
O+D,0.05,0.099,0.978,0.936,0.248
O+D,0.1,0.149,0.945,0.512,0.742
O+D,0.15,0.203,0.929,0.186,0.935
O+D,0.2,0.252,0.921,0.040,0.990
O+S+D,0.05,0.118,0.981,0.912,0.397
O+S+D,0.1,0.188,0.962,0.662,0.747
O+S+D,0.15,0.242,0.944,0.403,0.888
O+S+D,0.2,0.278,0.932,0.210,0.952
