Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.639,0.533,1.107,0.009,0.010,0.995,0.020,0.994,0.025,0.991,0.000,0.990,ref
O+S,0.653,0.114,1.016,0.009,0.010,0.995,0.018,0.994,0.025,0.991,0.000,0.990,0.124
O+D,0.616,-0.586,0.863,0.009,0.010,0.992,0.017,0.993,0.020,0.991,0.040,0.991,-0.124
O+S+D,0.623,-0.651,0.849,0.009,0.010,0.994,0.018,0.994,0.014,0.991,0.000,0.990,-0.105
