Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.010,0.995,0.966,0.065
O,0.01,0.020,0.994,0.482,0.770
O,0.02,0.025,0.991,0.103,0.961
O,0.05,0.000,0.990,0.000,1.000
O+S,0.005,0.010,0.995,0.935,0.129
O+S,0.01,0.018,0.994,0.521,0.728
O+S,0.02,0.025,0.991,0.146,0.946
O+S,0.05,0.000,0.990,0.000,1.000
O+D,0.005,0.010,0.992,0.927,0.090
O+D,0.01,0.017,0.993,0.490,0.729
O+D,0.02,0.020,0.991,0.086,0.960
O+D,0.05,0.040,0.991,0.006,0.999
O+S+D,0.005,0.010,0.994,0.941,0.095
O+S+D,0.01,0.018,0.994,0.510,0.726
O+S+D,0.02,0.014,0.991,0.066,0.954
O+S+D,0.05,0.000,0.990,0.000,0.999
