Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.055,--,1.000,0.000
O,0.01,0.055,--,1.000,0.000
O,0.02,0.055,0.944,0.995,0.004
O,0.05,0.070,0.970,0.792,0.388
O+S,0.005,0.055,--,1.000,0.000
O+S,0.01,0.055,--,1.000,0.000
O+S,0.02,0.056,0.977,0.986,0.036
O+S,0.05,0.095,0.967,0.625,0.652
O+D,0.005,0.055,--,1.000,0.000
O+D,0.01,0.055,--,1.000,0.000
O+D,0.02,0.056,0.963,0.988,0.018
O+D,0.05,0.082,0.966,0.666,0.562
O+S+D,0.005,0.055,--,1.000,0.000
O+S+D,0.01,0.055,--,1.000,0.000
O+S+D,0.02,0.056,0.961,0.984,0.022
O+S+D,0.05,0.111,0.967,0.565,0.737
