Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.034,--,1.000,0.000
O,0.01,0.034,1.000,1.000,0.000
O,0.02,0.041,0.979,0.789,0.343
O,0.05,0.085,0.971,0.225,0.914
O+Q,0.005,0.034,--,1.000,0.000
O+Q,0.01,0.035,0.986,0.979,0.054
O+Q,0.02,0.044,0.980,0.771,0.401
O+Q,0.05,0.093,0.973,0.312,0.892
S,0.005,0.034,--,1.000,0.000
S,0.01,0.034,--,1.000,0.000
S,0.02,0.034,0.963,0.981,0.018
S,0.05,0.074,0.968,0.099,0.956
O+S,0.005,0.034,--,1.000,0.000
O+S,0.01,0.034,1.000,1.000,0.000
O+S,0.02,0.041,0.983,0.850,0.302
O+S,0.05,0.082,0.970,0.184,0.927
O+Q+S,0.005,0.034,--,1.000,0.000
O+Q+S,0.01,0.035,1.000,1.000,0.011
O+Q+S,0.02,0.043,0.983,0.830,0.347
O+Q+S,0.05,0.096,0.973,0.287,0.904
