Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.115,0.929,0.978,0.037
O,0.1,0.145,0.911,0.555,0.582
O,0.15,0.135,0.888,0.062,0.949
O,0.2,0.219,0.887,0.011,0.995
O+Q,0.05,0.123,0.947,0.936,0.147
O+Q,0.1,0.187,0.935,0.653,0.636
O+Q,0.15,0.218,0.910,0.353,0.838
O+Q,0.2,0.322,0.897,0.136,0.963
S,0.05,0.114,0.917,0.986,0.020
S,0.1,0.130,0.900,0.510,0.565
S,0.15,0.224,0.893,0.108,0.952
S,0.2,0.474,0.887,0.003,1.000
O+S,0.05,0.114,0.913,0.972,0.038
O+S,0.1,0.140,0.908,0.551,0.568
O+S,0.15,0.188,0.893,0.130,0.928
O+S,0.2,0.088,0.886,0.006,0.992
O+Q+S,0.05,0.148,0.975,0.939,0.308
O+Q+S,0.1,0.226,0.953,0.740,0.676
O+Q+S,0.15,0.283,0.935,0.554,0.820
O+Q+S,0.2,0.297,0.915,0.354,0.893
