Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.094,0.983,0.626,0.781
O,0.1,0.151,0.978,0.425,0.913
O,0.15,0.184,0.974,0.285,0.954
O,0.2,0.222,0.972,0.213,0.973
O+S,0.05,0.175,0.987,0.684,0.883
O+S,0.1,0.296,0.982,0.514,0.956
O+S,0.15,0.398,0.980,0.438,0.976
O+S,0.2,0.469,0.977,0.357,0.985
O+D,0.05,0.115,0.982,0.562,0.844
O+D,0.1,0.186,0.976,0.350,0.945
O+D,0.15,0.226,0.972,0.224,0.972
O+D,0.2,0.265,0.969,0.138,0.986
O+S+D,0.05,0.179,0.987,0.674,0.888
O+S+D,0.1,0.310,0.983,0.530,0.957
O+S+D,0.15,0.402,0.979,0.427,0.977
O+S+D,0.2,0.485,0.977,0.359,0.986
