Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.014,1.000,1.000,0.034
O,0.01,0.019,1.000,1.000,0.262
O,0.02,0.027,0.991,0.502,0.745
O,0.05,--,0.986,0.000,1.000
O+Q,0.005,0.014,1.000,1.000,0.009
O+Q,0.01,0.019,0.997,0.926,0.314
O+Q,0.02,0.033,0.992,0.572,0.767
O+Q,0.05,0.000,0.986,0.000,0.999
S,0.005,0.014,--,1.000,0.000
S,0.01,0.015,0.997,0.971,0.127
S,0.02,0.027,0.990,0.425,0.785
S,0.05,--,0.986,0.000,1.000
O+S,0.005,0.014,1.000,1.000,0.000
O+S,0.01,0.018,1.000,1.000,0.241
O+S,0.02,0.028,0.991,0.494,0.757
O+S,0.05,0.000,0.986,0.000,1.000
O+Q+S,0.005,0.014,1.000,1.000,0.008
O+Q+S,0.01,0.020,0.999,0.974,0.312
O+Q+S,0.02,0.032,0.992,0.542,0.771
O+Q+S,0.05,0.074,0.986,0.024,0.996
