threshold,strategy,net_benefit,model
0.045,Treat all,-0.040474460050028,O+D
0.05,Treat all,-0.04595064141871236,O+D
0.055,Treat all,-0.05148477179658914,O+D
0.06,Treat all,-0.05707777590189014,O+D
0.065,Treat all,-0.06273059823291631,O+D
0.07,Treat all,-0.06844420359975996,O+D
0.075,Treat all,-0.07421957767327214,O+D
0.08,Treat all,-0.08005772755193125,O+D
0.085,Treat all,-0.08595968234729699,O+D
0.09,Treat all,-0.09192649378876565,O+D
0.095,Treat all,-0.09795923684837209,O+D
0.1,Treat all,-0.10405901038641861,O+D
0.005,Treat none,0.0,O+D
0.01,Treat none,0.0,O+D
0.015,Treat none,0.0,O+D
0.02,Treat none,0.0,O+D
0.025,Treat none,0.0,O+D
0.03,Treat none,0.0,O+D
0.035,Treat none,0.0,O+D
0.04,Treat none,0.0,O+D
0.045,Treat none,0.0,O+D
0.05,Treat none,0.0,O+D
0.055,Treat none,0.0,O+D
0.06,Treat none,0.0,O+D
0.065,Treat none,0.0,O+D
0.07,Treat none,0.0,O+D
0.075,Treat none,0.0,O+D
0.08,Treat none,0.0,O+D
0.085,Treat none,0.0,O+D
0.09,Treat none,0.0,O+D
0.095,Treat none,0.0,O+D
0.1,Treat none,0.0,O+D
0.005,O+S+D,0.0024119253743076175,O+S+D
0.01,O+S+D,0.0004788589925404012,O+S+D
0.015,O+S+D,-0.00024539703486212757,O+S+D
0.02,O+S+D,-0.00012634809658047802,O+S+D
0.025,O+S+D,-7.834952098426662e-05,O+S+D
0.03,O+S+D,-2.7563684573073183e-05,O+S+D
0.035,O+S+D,-6.926625397896628e-06,O+S+D
0.04,O+S+D,-5.3049154833097195e-06,O+S+D
0.045,O+S+D,0.0,O+S+D
0.05,O+S+D,0.0,O+S+D
0.055,O+S+D,0.0,O+S+D
0.06,O+S+D,0.0,O+S+D
0.065,O+S+D,0.0,O+S+D
0.07,O+S+D,0.0,O+S+D
0.075,O+S+D,0.0,O+S+D
0.08,O+S+D,0.0,O+S+D
0.085,O+S+D,0.0,O+S+D
0.09,O+S+D,0.0,O+S+D
0.095,O+S+D,0.0,O+S+D
0.1,O+S+D,0.0,O+S+D
0.005,Treat all,0.001353658946958049,O+S+D
0.01,Treat all,-0.0036900094421987283,O+S+D
0.015,Treat all,-0.00878488258657537,O+S+D
0.02,Treat all,-0.013931744232425249,O+S+D
0.025,Treat all,-0.019131394202847943,O+S+D
0.03,Treat all,-0.02438464881214097,O+S+D
0.035,Treat all,-0.029692341293032897,O+S+D
0.04,Treat all,-0.03505532223726744,O+S+D
0.045,Treat all,-0.040474460050028,O+S+D
0.05,Treat all,-0.04595064141871236,O+S+D
0.055,Treat all,-0.05148477179658914,O+S+D
0.06,Treat all,-0.05707777590189014,O+S+D
0.065,Treat all,-0.06273059823291631,O+S+D
0.07,Treat all,-0.06844420359975996,O+S+D
0.075,Treat all,-0.07421957767327214,O+S+D
0.08,Treat all,-0.08005772755193125,O+S+D
0.085,Treat all,-0.08595968234729699,O+S+D
0.09,Treat all,-0.09192649378876565,O+S+D
0.095,Treat all,-0.09795923684837209,O+S+D
0.1,Treat all,-0.10405901038641861,O+S+D
0.005,Treat none,0.0,O+S+D
0.01,Treat none,0.0,O+S+D
0.015,Treat none,0.0,O+S+D
0.02,Treat none,0.0,O+S+D
0.025,Treat none,0.0,O+S+D
0.03,Treat none,0.0,O+S+D
0.035,Treat none,0.0,O+S+D
0.04,Treat none,0.0,O+S+D
0.045,Treat none,0.0,O+S+D
0.05,Treat none,0.0,O+S+D
0.055,Treat none,0.0,O+S+D
0.06,Treat none,0.0,O+S+D
0.065,Treat none,0.0,O+S+D
0.07,Treat none,0.0,O+S+D
0.075,Treat none,0.0,O+S+D
0.08,Treat none,0.0,O+S+D
0.085,Treat none,0.0,O+S+D
0.09,Treat none,0.0,O+S+D
0.095,Treat none,0.0,O+S+D
0.1,Treat none,0.0,O+S+D
