Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.008,0.998,0.924,0.295
O,0.01,0.011,0.996,0.633,0.631
O,0.02,0.012,0.994,0.144,0.921
O,0.05,0.000,0.994,0.000,1.000
O+S,0.005,0.009,0.998,0.885,0.359
O+S,0.01,0.013,0.996,0.491,0.756
O+S,0.02,0.017,0.994,0.086,0.967
O+S,0.05,0.000,0.994,0.000,1.000
O+D,0.005,0.009,0.998,0.895,0.366
O+D,0.01,0.012,0.995,0.414,0.781
O+D,0.02,0.009,0.994,0.019,0.987
O+D,0.05,--,0.994,0.000,1.000
O+S+D,0.005,0.009,0.998,0.847,0.407
O+S+D,0.01,0.012,0.995,0.375,0.810
O+S+D,0.02,0.012,0.994,0.029,0.985
O+S+D,0.05,--,0.994,0.000,1.000
