Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.014,--,1.000,0.000
O,0.01,0.019,0.992,0.714,0.484
O,0.02,0.037,0.991,0.410,0.851
O,0.05,--,0.986,0.000,1.000
O+Q,0.005,0.014,1.000,1.000,0.009
O+Q,0.01,0.021,0.992,0.677,0.556
O+Q,0.02,0.033,0.989,0.311,0.875
O+Q,0.05,0.000,0.986,0.000,0.995
S,0.005,0.014,--,1.000,0.000
S,0.01,0.016,0.992,0.802,0.339
S,0.02,0.022,0.987,0.100,0.938
S,0.05,0.192,0.987,0.022,0.999
O+S,0.005,0.014,--,1.000,0.000
O+S,0.01,0.018,0.990,0.607,0.537
O+S,0.02,0.040,0.989,0.284,0.905
O+S,0.05,0.106,0.987,0.022,0.997
O+Q+S,0.005,0.014,--,1.000,0.000
O+Q+S,0.01,0.019,0.991,0.659,0.529
O+Q+S,0.02,0.033,0.988,0.233,0.904
O+Q+S,0.05,0.000,0.986,0.000,0.997
