,Feature,Gain
0,ageaccel,19.19864273071289
15,SF12_phys_accless,18.972522735595703
12,SF12_modact,18.92628288269043
16,SF12_limitedwork,18.12123680114746
23,genhealth,13.969438552856445
19,SF12_soc_act,12.031530380249023
14,SF12_climbone,11.657313346862793
21,walkpace,8.927844047546387
5,EDUC,8.353364944458008
17,SF12_pain,8.007549285888672
9,hearing_trouble,7.999240398406982
8,total_steps_norm,7.64300537109375
2,histhtn,6.496710300445557
4,heightbs,6.331116199493408
18,SF12_felt_down,6.303095817565918
1,bmi,6.157465934753418
6,had_jointyrs_time,6.110812187194824
24,alcuse,6.091800212860107
25,first_fall_pre,6.052852153778076
3,weight,5.856186866760254
11,sit_hometv,5.7225470542907715
13,SF12_climbsev,5.46257209777832
10,sit_work,5.172943115234375
26,had_parkyrs_time,4.938403606414795
20,tmethrst,4.720057487487793
7,had_tiayrs_time,3.8244478702545166
22,stairclimb,3.7346348762512207
