Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.609,4.216,1.788,0.009,0.010,0.993,0.030,0.992,--,0.991,--,0.991,ref
O+Q,0.621,0.998,1.135,0.009,0.011,0.994,0.023,0.992,0.000,0.991,--,0.991,0.138
S,0.735,0.994,1.146,0.009,0.016,0.997,0.026,0.994,0.045,0.992,0.197,0.991,0.828
O+S,0.732,1.936,1.346,0.009,0.015,0.996,0.020,0.993,0.074,0.993,0.317,0.991,0.723
O+Q+S,0.761,1.868,1.332,0.009,0.016,0.997,0.031,0.995,0.075,0.993,0.104,0.991,0.728
