Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.010,0.993,0.928,0.095
O,0.01,0.030,0.992,0.200,0.939
O,0.02,--,0.991,0.000,1.000
O,0.05,--,0.991,0.000,1.000
O+Q,0.005,0.011,0.994,0.814,0.298
O+Q,0.01,0.023,0.992,0.273,0.889
O+Q,0.02,0.000,0.991,0.000,0.994
O+Q,0.05,--,0.991,0.000,1.000
S,0.005,0.016,0.997,0.809,0.532
S,0.01,0.026,0.994,0.481,0.828
S,0.02,0.045,0.992,0.207,0.959
S,0.05,0.197,0.991,0.076,0.997
O+S,0.005,0.015,0.996,0.809,0.488
O+S,0.01,0.020,0.993,0.376,0.830
O+S,0.02,0.074,0.993,0.246,0.971
O+S,0.05,0.317,0.991,0.041,0.999
O+Q+S,0.005,0.016,0.997,0.846,0.507
O+Q+S,0.01,0.031,0.995,0.557,0.833
O+Q+S,0.02,0.075,0.993,0.243,0.972
O+Q+S,0.05,0.104,0.991,0.041,0.997
