Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.121,0.968,0.668,0.674
O,0.1,0.205,0.957,0.398,0.896
O,0.15,0.268,0.951,0.265,0.951
O,0.2,0.333,0.947,0.188,0.975
O+Q,0.05,0.180,0.974,0.682,0.790
O+Q,0.1,0.291,0.965,0.507,0.917
O+Q,0.15,0.362,0.956,0.348,0.959
O+Q,0.2,0.472,0.953,0.288,0.978
S,0.05,0.143,0.970,0.669,0.730
S,0.1,0.198,0.953,0.344,0.906
S,0.15,0.246,0.948,0.226,0.953
S,0.2,0.345,0.946,0.176,0.977
O+S,0.05,0.144,0.969,0.643,0.742
O+S,0.1,0.228,0.959,0.425,0.903
O+S,0.15,0.313,0.956,0.350,0.948
O+S,0.2,0.335,0.949,0.234,0.969
O+Q+S,0.05,0.184,0.975,0.694,0.792
O+Q+S,0.1,0.277,0.964,0.488,0.914
O+Q+S,0.15,0.386,0.960,0.404,0.957
O+Q+S,0.2,0.429,0.955,0.321,0.971
