,Feature,Gain
1,ageaccel,4.716289520263672
5,heightbs,4.32899808883667
2,bmi,3.807239294052124
8,total_steps_norm,3.709153413772583
4,weight,3.387583017349243
6,EDUC,3.36454701423645
0,RACE,3.360551118850708
7,had_jointyrs_time,2.74408221244812
3,histhtn,2.263505697250366
