Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.042,--,1.000,0.000
O,0.01,0.042,--,1.000,0.000
O,0.02,0.051,0.978,0.829,0.332
O,0.05,0.121,0.964,0.181,0.943
O+Q,0.005,0.042,--,1.000,0.000
O+Q,0.01,0.043,0.992,0.991,0.048
O+Q,0.02,0.055,0.975,0.744,0.438
O+Q,0.05,0.104,0.965,0.229,0.914
S,0.005,0.042,--,1.000,0.000
S,0.01,0.042,--,1.000,0.000
S,0.02,0.043,0.977,0.966,0.064
S,0.05,0.134,0.961,0.082,0.977
O+S,0.005,0.042,--,1.000,0.000
O+S,0.01,0.042,--,1.000,0.000
O+S,0.02,0.052,0.979,0.842,0.326
O+S,0.05,0.124,0.964,0.198,0.939
O+Q+S,0.005,0.042,--,1.000,0.000
O+Q+S,0.01,0.043,1.000,1.000,0.031
O+Q+S,0.02,0.059,0.982,0.827,0.421
O+Q+S,0.05,0.101,0.965,0.237,0.909
