Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.562,1.508,1.194,0.001,--,0.999,--,0.999,--,0.999,--,0.999,ref
O+Q,0.696,3.875,1.550,0.001,--,0.999,--,0.999,--,0.999,--,0.999,0.760
S,0.832,3.084,1.461,0.001,0.024,0.999,0.000,0.999,--,0.999,--,0.999,1.331
O+S,0.870,5.243,1.793,0.001,0.000,0.999,--,0.999,--,0.999,--,0.999,1.297
O+Q+S,0.806,3.332,1.495,0.001,0.000,0.999,0.000,0.999,--,0.999,--,0.999,0.795
