Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.650,-0.968,0.821,0.012,0.013,0.995,0.015,0.994,0.022,0.992,0.030,0.988,ref
O+S,0.661,-0.328,0.936,0.012,0.013,0.997,0.018,0.995,0.025,0.991,0.000,0.988,0.101
O+D,0.633,-0.578,0.864,0.012,0.013,0.995,0.016,0.993,0.024,0.990,0.000,0.988,-0.184
O+S+D,0.643,-0.386,0.897,0.012,0.014,0.997,0.018,0.993,0.023,0.990,0.000,0.988,0.054
