threshold,strategy,net_benefit,model
0.005,O,0.006902846028406754,O
0.01,O,0.003360986511769101,O
0.015,O,0.0015760873268860299,O
0.02,O,0.00041626775927795356,O
0.025,O,-8.882451263170568e-05,O
0.03,O,-0.0005654686368218209,O
0.035,O,-0.0005892399922502666,O
0.04,O,-0.0005533803938387705,O
0.045,O,-0.0004035895166287069,O
0.05,O,-0.00018155396533787863,O
0.055,O,-0.00012371670533273366,O
0.06,O,-9.767459365579367e-05,O
0.065,O,-6.28609056399262e-05,O
0.07,O,-3.141245485117901e-05,O
0.075,O,-1.1279375680153078e-05,O
0.08,O,-1.2096721743932286e-05,O
0.085,O,-1.2923000551577936e-05,O
0.09,O,-6.879179673060394e-06,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,0.006919932369611384,O
0.01,Treat all,0.0019043764724882093,O
0.015,Treat all,-0.003162098773844336,O
0.02,Treat all,-0.00828027274718028,O
0.025,Treat all,-0.013450940812550436,O
0.03,Treat all,-0.018674914734264608,O
0.035,Treat all,-0.023953023100763395,O
0.04,Treat all,-0.029286111762746536,O
0.045,Treat all,-0.03467504428506458,O
0.05,Treat all,-0.04012070241288071,O
0.055,Treat all,-0.045623986552631404,O
0.06,Treat all,-0.05118581626833688,O
0.065,Treat all,-0.056807130793836015,O
0.07,Treat all,-0.06248888956154482,O
0.075,Treat all,-0.06823207274836396,O
0.08,Treat all,-0.07403768183938768,O
0.085,Treat all,-0.07990674021009472,O
0.09,Treat all,-0.0858402937277326,O
0.095,Treat all,-0.0918394113726372,O
0.1,Treat all,-0.09790518588026297,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+S,0.007232250689135103,O+S
0.01,O+S,0.004184956186580955,O+S
0.015,O+S,0.0020376549339126675,O+S
0.02,O+S,0.0008063965588225564,O+S
0.025,O+S,3.657214495823152e-05,O+S
0.03,O+S,-8.939191074048961e-05,O+S
0.035,O+S,2.105871234867843e-05,O+S
0.04,O+S,-0.00018649809182816584,O+S
0.045,O+S,-6.374322034179004e-05,O+S
