Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.013,0.995,0.956,0.101
O,0.01,0.015,0.994,0.795,0.391
O,0.02,0.022,0.992,0.486,0.734
O,0.05,0.030,0.988,0.022,0.992
O+S,0.005,0.013,0.997,0.963,0.152
O+S,0.01,0.018,0.995,0.800,0.467
O+S,0.02,0.025,0.991,0.337,0.842
O+S,0.05,0.000,0.988,0.000,0.998
O+D,0.005,0.013,0.995,0.935,0.147
O+D,0.01,0.016,0.993,0.725,0.478
O+D,0.02,0.024,0.990,0.272,0.866
O+D,0.05,0.000,0.988,0.000,1.000
O+S+D,0.005,0.014,0.997,0.951,0.175
O+S+D,0.01,0.018,0.993,0.692,0.537
O+S+D,0.02,0.023,0.990,0.228,0.886
O+S+D,0.05,0.000,0.988,0.000,0.999
