Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.110,0.922,0.968,0.045
O,0.1,0.134,0.914,0.582,0.543
O,0.15,0.158,0.897,0.153,0.901
O,0.2,0.000,0.891,0.000,0.998
O+Q,0.05,0.118,0.949,0.933,0.154
O+Q,0.1,0.170,0.938,0.673,0.600
O+Q,0.15,0.203,0.917,0.395,0.812
O+Q,0.2,0.220,0.900,0.150,0.935
S,0.05,0.109,1.000,1.000,0.001
S,0.1,0.136,0.918,0.613,0.525
S,0.15,0.113,0.892,0.031,0.970
S,0.2,--,0.892,0.000,1.000
O+S,0.05,0.109,0.893,0.980,0.020
O+S,0.1,0.138,0.918,0.596,0.549
O+S,0.15,0.165,0.898,0.156,0.904
O+S,0.2,0.170,0.892,0.003,0.998
O+Q+S,0.05,0.142,0.974,0.932,0.314
O+Q+S,0.1,0.208,0.957,0.758,0.649
O+Q+S,0.15,0.255,0.938,0.567,0.798
O+Q+S,0.2,0.304,0.925,0.406,0.887
