Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.117,0.957,0.986,0.040
O,0.1,0.144,0.911,0.571,0.565
O,0.15,0.170,0.890,0.106,0.934
O,0.2,--,0.886,0.000,1.000
O+Q,0.05,0.126,0.959,0.946,0.160
O+Q,0.1,0.176,0.928,0.622,0.626
O+Q,0.15,0.202,0.909,0.367,0.814
O+Q,0.2,0.276,0.896,0.136,0.954
S,0.05,0.114,0.886,0.985,0.015
S,0.1,0.139,0.907,0.556,0.558
S,0.15,0.200,0.890,0.070,0.964
S,0.2,0.453,0.886,0.003,1.000
O+S,0.05,0.119,0.956,0.975,0.070
O+S,0.1,0.157,0.918,0.585,0.596
O+S,0.15,0.193,0.897,0.209,0.888
O+S,0.2,0.184,0.888,0.045,0.974
O+Q+S,0.05,0.153,0.977,0.939,0.332
O+Q+S,0.1,0.218,0.946,0.702,0.676
O+Q+S,0.15,0.248,0.923,0.474,0.815
O+Q+S,0.2,0.295,0.913,0.331,0.898
