Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.019,--,1.000,0.000
O,0.01,0.022,0.993,0.931,0.182
O,0.02,0.059,0.987,0.395,0.877
O,0.05,0.000,0.981,0.000,1.000
O+S,0.005,0.019,1.000,1.000,0.000
O+S,0.01,0.022,0.992,0.904,0.223
O+S,0.02,0.053,0.987,0.422,0.855
O+S,0.05,0.070,0.981,0.017,0.996
O+D,0.005,0.019,1.000,1.000,0.001
O+D,0.01,0.021,0.991,0.920,0.168
O+D,0.02,0.049,0.987,0.421,0.841
O+D,0.05,0.012,0.981,0.003,0.995
O+S+D,0.005,0.019,1.000,1.000,0.001
O+S+D,0.01,0.021,0.991,0.915,0.176
O+S+D,0.02,0.046,0.986,0.412,0.834
O+S+D,0.05,0.032,0.981,0.010,0.994
