Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,--,0.996,0.000,1.000
O,0.1,--,0.996,0.000,1.000
O,0.15,--,0.996,0.000,1.000
O,0.2,--,0.996,0.000,1.000
O+Q,0.05,0.067,0.997,0.250,0.988
O+Q,0.1,0.142,0.997,0.167,0.996
O+Q,0.15,0.166,0.997,0.084,0.998
O+Q,0.2,0.332,0.997,0.084,0.999
S,0.05,--,0.996,0.000,1.000
S,0.1,--,0.996,0.000,1.000
S,0.15,--,0.996,0.000,1.000
S,0.2,--,0.996,0.000,1.000
O+S,0.05,0.332,0.997,0.084,0.999
O+S,0.1,--,0.996,0.000,1.000
O+S,0.15,--,0.996,0.000,1.000
O+S,0.2,--,0.996,0.000,1.000
O+Q+S,0.05,0.104,0.998,0.333,0.990
O+Q+S,0.1,0.153,0.997,0.167,0.997
O+Q+S,0.15,0.110,0.997,0.084,0.998
O+Q+S,0.2,0.498,0.997,0.084,1.000
