Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.021,0.992,0.948,0.129
O,0.01,0.023,0.988,0.777,0.361
O,0.02,0.036,0.984,0.272,0.860
O,0.05,--,0.981,0.000,1.000
O+Q,0.005,0.021,0.993,0.946,0.152
O+Q,0.01,0.025,0.990,0.792,0.394
O+Q,0.02,0.034,0.985,0.359,0.802
O+Q,0.05,0.000,0.981,0.000,0.998
S,0.005,0.019,1.000,1.000,0.000
S,0.01,0.023,0.991,0.874,0.261
S,0.02,0.032,0.983,0.260,0.848
S,0.05,--,0.981,0.000,1.000
O+S,0.005,0.021,0.997,0.982,0.114
O+S,0.01,0.024,0.989,0.777,0.391
O+S,0.02,0.031,0.983,0.288,0.822
O+S,0.05,0.000,0.981,0.000,1.000
O+Q+S,0.005,0.021,0.996,0.982,0.099
O+Q+S,0.01,0.026,0.992,0.830,0.387
O+Q+S,0.02,0.031,0.984,0.321,0.803
O+Q+S,0.05,0.118,0.981,0.017,0.997
