Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.589,-3.897,0.325,0.003,--,0.997,--,0.997,--,0.997,--,0.997,ref
O+Q,0.983,1.136,1.333,0.003,0.060,0.998,0.000,0.997,0.000,0.997,0.000,0.997,1.717
S,0.733,-0.061,1.016,0.003,--,0.997,--,0.997,--,0.997,--,0.997,0.113
O+S,0.712,-1.624,0.722,0.003,0.000,0.997,--,0.997,--,0.997,--,0.997,0.433
O+Q+S,0.983,1.239,1.359,0.003,0.113,0.998,0.076,0.997,0.000,0.997,0.000,0.997,1.693
