Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,--,0.997,0.000,1.000
O,0.1,--,0.997,0.000,1.000
O,0.15,--,0.997,0.000,1.000
O,0.2,--,0.997,0.000,1.000
O+Q,0.05,0.060,0.998,0.200,0.991
O+Q,0.1,0.000,0.997,0.000,0.996
O+Q,0.15,0.000,0.997,0.000,0.998
O+Q,0.2,0.000,0.997,0.000,1.000
S,0.05,--,0.997,0.000,1.000
S,0.1,--,0.997,0.000,1.000
S,0.15,--,0.997,0.000,1.000
S,0.2,--,0.997,0.000,1.000
O+S,0.05,0.000,0.997,0.000,0.998
O+S,0.1,--,0.997,0.000,1.000
O+S,0.15,--,0.997,0.000,1.000
O+S,0.2,--,0.997,0.000,1.000
O+Q+S,0.05,0.113,0.998,0.400,0.991
O+Q+S,0.1,0.076,0.997,0.100,0.996
O+Q+S,0.15,0.000,0.997,0.000,0.998
O+Q+S,0.2,0.000,0.997,0.000,0.999
