Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.135,0.987,0.984,0.161
O,0.1,0.156,0.939,0.791,0.430
O,0.15,0.204,0.909,0.408,0.788
O,0.2,0.227,0.894,0.175,0.921
O+S,0.05,0.143,0.980,0.965,0.232
O+S,0.1,0.198,0.950,0.769,0.586
O+S,0.15,0.255,0.933,0.578,0.775
O+S,0.2,0.293,0.915,0.392,0.874
O+D,0.05,0.135,0.990,0.988,0.160
O+D,0.1,0.164,0.944,0.791,0.465
O+D,0.15,0.212,0.912,0.427,0.789
O+D,0.2,0.265,0.898,0.210,0.923
O+S+D,0.05,0.143,0.979,0.962,0.233
O+S+D,0.1,0.200,0.952,0.777,0.587
O+S+D,0.15,0.254,0.933,0.581,0.774
O+S+D,0.2,0.302,0.917,0.398,0.878
