Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.007,0.985,0.787,0.115
O,0.01,0.019,0.993,0.200,0.911
O,0.02,--,0.992,0.000,1.000
O,0.05,--,0.992,0.000,1.000
O+Q,0.005,0.009,0.993,0.792,0.248
O+Q,0.01,0.015,0.992,0.183,0.896
O+Q,0.02,0.113,0.992,0.038,0.997
O+Q,0.05,--,0.992,0.000,1.000
S,0.005,0.015,0.998,0.841,0.540
S,0.01,0.028,0.996,0.629,0.817
S,0.02,0.060,0.994,0.358,0.953
S,0.05,0.000,0.992,0.000,0.998
O+S,0.005,0.014,0.997,0.841,0.516
O+S,0.01,0.026,0.996,0.587,0.817
O+S,0.02,0.050,0.994,0.272,0.957
O+S,0.05,--,0.992,0.000,1.000
O+Q+S,0.005,0.016,0.998,0.841,0.561
O+Q+S,0.01,0.030,0.996,0.626,0.829
O+Q+S,0.02,0.053,0.994,0.313,0.953
O+Q+S,0.05,0.152,0.992,0.036,0.998
