Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.501,-3.952,0.165,0.008,0.007,0.985,0.019,0.993,--,0.992,--,0.992,ref
O+Q,0.525,-2.237,0.506,0.008,0.009,0.993,0.015,0.992,0.113,0.992,--,0.992,0.146
S,0.805,2.136,1.428,0.008,0.015,0.998,0.028,0.996,0.060,0.994,0.000,0.992,0.949
O+S,0.796,2.707,1.550,0.008,0.014,0.997,0.026,0.996,0.050,0.994,--,0.992,0.936
O+Q+S,0.776,1.845,1.357,0.008,0.016,0.998,0.030,0.996,0.053,0.994,0.152,0.992,0.911
