Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.651,-0.779,0.938,0.001,0.004,0.999,--,0.999,--,0.999,--,0.999,ref
O+Q,0.680,0.678,1.186,0.001,0.009,0.999,0.000,0.999,--,0.999,--,0.999,0.342
S,0.635,-1.191,0.869,0.001,0.000,0.998,0.000,0.999,--,0.999,--,0.999,-0.284
O+S,0.651,-0.967,0.905,0.001,0.000,0.998,--,0.999,--,0.999,--,0.999,-0.180
O+Q+S,0.682,0.294,1.119,0.001,0.005,0.999,0.000,0.999,--,0.999,--,0.999,-0.209
