threshold,strategy,net_benefit,model
0.005,O,-0.0007936267214488037,O
0.01,O,-0.0001871469298695657,O
0.015,O,-1.3696377253772853e-05,O
0.02,O,-1.2236672648495477e-06,O
0.025,O,0.0,O
0.03,O,0.0,O
0.035,O,0.0,O
0.04,O,0.0,O
0.045,O,0.0,O
0.05,O,0.0,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,-0.0044303643769855695,O
0.01,Treat all,-0.009503245005152164,O
0.015,Treat all,-0.014627626959493035,O
0.02,Treat all,-0.0198042985256129,O
0.025,Treat all,-0.02503406415907758,O
0.03,Treat all,-0.030317744902165607,O
0.035,Treat all,-0.0356561788135758,O
0.04,Treat all,-0.04105022141156317,O
0.045,Treat all,-0.04650074613099544,O
0.05,Treat all,-0.05200864479484278,O
0.055,Treat all,-0.057574828100635606,O
0.06,Treat all,-0.06320022612244748,O
0.065,Treat all,-0.06888578882898463,O
0.07,Treat all,-0.0746324866183878,O
0.075,Treat all,-0.08044131087037905,O
0.08,Treat all,-0.08631327451641373,O
0.085,Treat all,-0.09224941262852529,O
0.09,Treat all,-0.09825078302758311,O
0.095,Treat all,-0.1043184669117134,O
0.1,Treat all,-0.11045356950566737,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+S,-0.0004801823251615907,O+S
0.01,O+S,-4.6635319093710544e-05,O+S
0.015,O+S,-5.478550901509141e-06,O+S
0.02,O+S,-1.2236672648495477e-06,O+S
0.025,O+S,0.0,O+S
0.03,O+S,0.0,O+S
0.035,O+S,0.0,O+S
0.04,O+S,0.0,O+S
0.045,O+S,0.0,O+S
0.05,O+S,0.0,O+S
0.055,O+S,0.0,O+S
0.06,O+S,0.0,O+S
0.065,O+S,0.0,O+S
0.07,O+S,0.0,O+S
0.075,O+S,0.0,O+S
0.08,O+S,0.0,O+S
0.085,O+S,0.0,O+S
0.09,O+S,0.0,O+S
0.095,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.005,Treat all,-0.0044303643769855695,O+S
0.01,Treat all,-0.009503245005152164,O+S
0.015,Treat all,-0.014627626959493035,O+S
0.02,Treat all,-0.0198042985256129,O+S
0.025,Treat all,-0.02503406415907758,O+S
0.03,Treat all,-0.030317744902165607,O+S
0.035,Treat all,-0.0356561788135758,O+S
0.04,Treat all,-0.04105022141156317,O+S
0.045,Treat all,-0.04650074613099544,O+S
0.05,Treat all,-0.05200864479484278,O+S
0.055,Treat all,-0.057574828100635606,O+S
0.06,Treat all,-0.06320022612244748,O+S
0.065,Treat all,-0.06888578882898463,O+S
0.07,Treat all,-0.0746324866183878,O+S
0.075,Treat all,-0.08044131087037905,O+S
0.08,Treat all,-0.08631327451641373,O+S
0.085,Treat all,-0.09224941262852529,O+S
0.09,Treat all,-0.09825078302758311,O+S
0.095,Treat all,-0.1043184669117134,O+S
0.1,Treat all,-0.11045356950566737,O+S
0.005,Treat none,0.0,O+S
0.01,Treat none,0.0,O+S
0.015,Treat none,0.0,O+S
0.02,Treat none,0.0,O+S
0.025,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.035,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.045,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
0.055,Treat none,0.0,O+S
0.06,Treat none,0.0,O+S
0.065,Treat none,0.0,O+S
0.07,Treat none,0.0,O+S
0.075,Treat none,0.0,O+S
0.08,Treat none,0.0,O+S
0.085,Treat none,0.0,O+S
0.09,Treat none,0.0,O+S
0.095,Treat none,0.0,O+S
0.1,Treat none,0.0,O+S
0.005,O+D,-0.0003876195008578591,O+D
0.01,O+D,-3.0282674736175674e-06,O+D
0.015,O+D,0.0,O+D
0.02,O+D,0.0,O+D
0.025,O+D,0.0,O+D
0.03,O+D,0.0,O+D
0.035,O+D,0.0,O+D
0.04,O+D,0.0,O+D
0.045,O+D,0.0,O+D
0.05,O+D,0.0,O+D
0.055,O+D,0.0,O+D
0.06,O+D,0.0,O+D
0.065,O+D,0.0,O+D
0.07,O+D,0.0,O+D
0.075,O+D,0.0,O+D
0.08,O+D,0.0,O+D
0.085,O+D,0.0,O+D
0.09,O+D,0.0,O+D
0.095,O+D,0.0,O+D
0.1,O+D,0.0,O+D
0.005,Treat all,-0.0044303643769855695,O+D
0.01,Treat all,-0.009503245005152164,O+D
0.015,Treat all,-0.014627626959493035,O+D
0.02,Treat all,-0.0198042985256129,O+D
0.025,Treat all,-0.02503406415907758,O+D
0.03,Treat all,-0.030317744902165607,O+D
0.035,Treat all,-0.0356561788135758,O+D
0.04,Treat all,-0.04105022141156317,O+D
0.045,Treat all,-0.04650074613099544,O+D
0.05,Treat all,-0.05200864479484278,O+D
0.055,Treat all,-0.057574828100635606,O+D
0.06,Treat all,-0.06320022612244748,O+D
0.065,Treat all,-0.06888578882898463,O+D
0.07,Treat all,-0.0746324866183878,O+D
0.075,Treat all,-0.08044131087037905,O+D
0.08,Treat all,-0.08631327451641373,O+D
0.085,Treat all,-0.09224941262852529,O+D
0.09,Treat all,-0.09825078302758311,O+D
0.095,Treat all,-0.1043184669117134,O+D
0.1,Treat all,-0.11045356950566737,O+D
0.005,Treat none,0.0,O+D
0.01,Treat none,0.0,O+D
0.015,Treat none,0.0,O+D
0.02,Treat none,0.0,O+D
0.025,Treat none,0.0,O+D
0.03,Treat none,0.0,O+D
0.035,Treat none,0.0,O+D
0.04,Treat none,0.0,O+D
0.045,Treat none,0.0,O+D
0.05,Treat none,0.0,O+D
0.055,Treat none,0.0,O+D
0.06,Treat none,0.0,O+D
0.065,Treat none,0.0,O+D
0.07,Treat none,0.0,O+D
0.075,Treat none,0.0,O+D
0.08,Treat none,0.0,O+D
0.085,Treat none,0.0,O+D
0.09,Treat none,0.0,O+D
0.095,Treat none,0.0,O+D
0.1,Treat none,0.0,O+D
0.005,O+S+D,-0.00035327073029781103,O+S+D
0.01,O+S+D,-1.8169604841705405e-05,O+S+D
0.015,O+S+D,-9.130918169181902e-07,O+S+D
0.02,O+S+D,0.0,O+S+D
0.025,O+S+D,0.0,O+S+D
0.03,O+S+D,0.0,O+S+D
0.035,O+S+D,0.0,O+S+D
