Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.018,0.994,0.993,0.023
O,0.01,0.021,0.993,0.918,0.214
O,0.02,0.028,0.989,0.644,0.579
O,0.05,0.038,0.983,0.111,0.948
O+S,0.005,0.018,0.993,0.989,0.028
O+S,0.01,0.022,0.993,0.885,0.288
O+S,0.02,0.033,0.989,0.588,0.684
O+S,0.05,0.048,0.982,0.047,0.983
O+D,0.005,0.019,0.997,0.996,0.022
O+D,0.01,0.022,0.992,0.872,0.291
O+D,0.02,0.031,0.987,0.491,0.715
O+D,0.05,0.029,0.982,0.007,0.996
O+S+D,0.005,0.019,1.000,1.000,0.028
O+S+D,0.01,0.023,0.993,0.871,0.318
O+S+D,0.02,0.033,0.987,0.454,0.751
O+S+D,0.05,0.059,0.982,0.022,0.994
