Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,--,0.996,0.000,1.000
O,0.1,--,0.996,0.000,1.000
O,0.15,--,0.996,0.000,1.000
O,0.2,--,0.996,0.000,1.000
O+Q,0.05,0.205,0.998,0.499,0.993
O+Q,0.1,0.220,0.997,0.167,0.998
O+Q,0.15,0.198,0.997,0.083,0.999
O+Q,0.2,--,0.996,0.000,1.000
S,0.05,--,0.996,0.000,1.000
S,0.1,--,0.996,0.000,1.000
S,0.15,--,0.996,0.000,1.000
S,0.2,--,0.996,0.000,1.000
O+S,0.05,0.000,0.996,0.000,0.998
O+S,0.1,--,0.996,0.000,1.000
O+S,0.15,--,0.996,0.000,1.000
O+S,0.2,--,0.996,0.000,1.000
O+Q+S,0.05,0.198,0.998,0.499,0.993
O+Q+S,0.1,0.270,0.997,0.250,0.998
O+Q+S,0.15,0.000,0.996,0.000,0.998
O+Q+S,0.2,0.000,0.996,0.000,0.999
