Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.028,1.000,1.000,0.000
O,0.01,0.029,0.989,0.970,0.082
O,0.02,0.043,0.992,0.881,0.434
O,0.05,0.072,0.979,0.355,0.869
O+S,0.005,0.028,--,1.000,0.000
O+S,0.01,0.030,0.991,0.970,0.092
O+S,0.02,0.044,0.990,0.836,0.483
O+S,0.05,0.083,0.976,0.219,0.930
O+D,0.005,0.028,--,1.000,0.000
O+D,0.01,0.031,0.996,0.988,0.097
O+D,0.02,0.046,0.991,0.835,0.502
O+D,0.05,0.082,0.975,0.149,0.952
O+S+D,0.005,0.028,--,1.000,0.000
O+S+D,0.01,0.031,0.993,0.971,0.122
O+S+D,0.02,0.046,0.989,0.797,0.526
O+S+D,0.05,0.081,0.975,0.154,0.950
