Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.651,0.636,1.207,0.027,0.028,1.000,0.029,0.989,0.043,0.992,0.072,0.979,ref
O+S,0.654,1.254,1.329,0.027,0.028,--,0.030,0.991,0.044,0.990,0.083,0.976,-0.015
O+D,0.646,1.665,1.421,0.027,0.028,--,0.031,0.996,0.046,0.991,0.082,0.975,-0.174
O+S+D,0.646,1.287,1.302,0.027,0.028,--,0.031,0.993,0.046,0.989,0.081,0.975,-0.068
