Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.155,0.973,0.722,0.720
O,0.1,0.245,0.955,0.392,0.914
O,0.15,0.280,0.948,0.262,0.952
O,0.2,0.287,0.943,0.168,0.970
O+Q,0.05,0.211,0.977,0.735,0.804
O+Q,0.1,0.343,0.967,0.559,0.924
O+Q,0.15,0.451,0.960,0.433,0.962
O+Q,0.2,0.521,0.955,0.358,0.977
S,0.05,0.145,0.964,0.606,0.746
S,0.1,0.255,0.958,0.432,0.910
S,0.15,0.355,0.950,0.282,0.964
S,0.2,0.427,0.945,0.197,0.981
O+S,0.05,0.175,0.973,0.706,0.764
O+S,0.1,0.273,0.960,0.462,0.912
O+S,0.15,0.349,0.952,0.322,0.957
O+S,0.2,0.405,0.947,0.240,0.975
O+Q+S,0.05,0.215,0.976,0.723,0.812
O+Q+S,0.1,0.351,0.968,0.568,0.925
O+Q+S,0.15,0.456,0.961,0.448,0.962
O+Q+S,0.2,0.537,0.957,0.375,0.977
