Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.017,1.000,1.000,0.007
O,0.01,0.025,0.991,0.731,0.517
O,0.02,0.032,0.985,0.206,0.894
O,0.05,--,0.983,0.000,1.000
O+Q,0.005,0.017,1.000,1.000,0.002
O+Q,0.01,0.027,0.991,0.693,0.580
O+Q,0.02,0.033,0.985,0.195,0.904
O+Q,0.05,0.000,0.983,0.000,0.999
S,0.005,0.017,0.991,0.982,0.033
S,0.01,0.022,0.988,0.599,0.548
S,0.02,0.013,0.983,0.061,0.918
S,0.05,0.000,0.983,0.000,0.996
O+S,0.005,0.017,1.000,1.000,0.007
O+S,0.01,0.024,0.989,0.595,0.591
O+S,0.02,0.041,0.985,0.190,0.926
O+S,0.05,0.000,0.983,0.000,0.996
O+Q+S,0.005,0.017,1.000,1.000,0.006
O+Q+S,0.01,0.026,0.991,0.675,0.576
O+Q+S,0.02,0.030,0.985,0.152,0.915
O+Q+S,0.05,0.000,0.983,0.000,0.997
