Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.661,-0.371,1.015,0.011,0.011,0.992,0.013,0.995,0.021,0.992,0.045,0.989,ref
O+S,0.783,0.805,1.258,0.011,0.012,0.999,0.020,0.996,0.048,0.994,0.144,0.992,0.644
O+D,0.661,0.078,1.072,0.011,0.011,0.993,0.015,0.994,0.026,0.992,0.034,0.989,0.091
O+S+D,0.783,1.281,1.343,0.011,0.012,0.999,0.022,0.996,0.060,0.994,0.161,0.992,0.671
