Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.011,0.992,0.989,0.015
O,0.01,0.013,0.995,0.874,0.261
O,0.02,0.021,0.992,0.505,0.728
O,0.05,0.045,0.989,0.076,0.982
O+S,0.005,0.012,0.999,0.989,0.089
O+S,0.01,0.020,0.996,0.815,0.552
O+S,0.02,0.048,0.994,0.515,0.884
O+S,0.05,0.144,0.992,0.293,0.980
O+D,0.005,0.011,0.993,0.984,0.026
O+D,0.01,0.015,0.994,0.804,0.387
O+D,0.02,0.026,0.992,0.363,0.844
O+D,0.05,0.034,0.989,0.022,0.993
O+S+D,0.005,0.012,0.999,0.989,0.087
O+S+D,0.01,0.022,0.996,0.793,0.608
O+S+D,0.02,0.060,0.994,0.505,0.911
O+S+D,0.05,0.161,0.992,0.261,0.985
