Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.000,0.997,0.000,0.946
O,0.01,--,0.998,0.000,1.000
O,0.02,--,0.998,0.000,1.000
O,0.05,--,0.998,0.000,1.000
O+Q,0.005,0.010,0.998,0.250,0.943
O+Q,0.01,0.000,0.998,0.000,0.999
O+Q,0.02,--,0.998,0.000,1.000
O+Q,0.05,--,0.998,0.000,1.000
S,0.005,0.012,0.998,0.124,0.976
S,0.01,--,0.998,0.000,1.000
S,0.02,--,0.998,0.000,1.000
S,0.05,--,0.998,0.000,1.000
O+S,0.005,0.006,0.998,0.124,0.955
O+S,0.01,--,0.998,0.000,1.000
O+S,0.02,--,0.998,0.000,1.000
O+S,0.05,--,0.998,0.000,1.000
O+Q+S,0.005,0.005,0.998,0.124,0.946
O+Q+S,0.01,--,0.998,0.000,1.000
O+Q+S,0.02,--,0.998,0.000,1.000
O+Q+S,0.05,--,0.998,0.000,1.000
