Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.731,2.079,1.339,0.002,0.000,0.997,--,0.998,--,0.998,--,0.998,ref
O+Q,0.743,2.730,1.453,0.002,0.010,0.998,0.000,0.998,--,0.998,--,0.998,0.152
S,0.540,-3.266,0.448,0.002,0.012,0.998,--,0.998,--,0.998,--,0.998,-0.289
O+S,0.640,-0.577,0.889,0.002,0.006,0.998,--,0.998,--,0.998,--,0.998,-0.035
O+Q+S,0.679,0.686,1.100,0.002,0.005,0.998,--,0.998,--,0.998,--,0.998,0.048
