Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.636,1.318,1.247,0.014,--,0.985,--,0.985,--,0.985,--,0.985,ref
O+Q,0.685,0.698,1.107,0.014,0.000,0.985,--,0.985,--,0.985,--,0.985,0.436
S,0.640,5.423,2.177,0.014,--,0.985,--,0.985,--,0.985,--,0.985,-0.016
O+S,0.671,2.599,1.542,0.014,--,0.985,--,0.985,--,0.985,--,0.985,0.182
O+Q+S,0.780,1.327,1.264,0.014,0.069,0.986,--,0.985,--,0.985,--,0.985,0.779
