Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.119,0.977,0.784,0.610
O,0.1,0.190,0.968,0.583,0.834
O,0.15,0.258,0.962,0.457,0.912
O,0.2,0.297,0.955,0.341,0.946
O+S,0.05,0.181,0.977,0.726,0.780
O+S,0.1,0.293,0.969,0.568,0.908
O+S,0.15,0.381,0.963,0.452,0.951
O+S,0.2,0.462,0.959,0.374,0.971
O+D,0.05,0.144,0.974,0.716,0.715
O+D,0.1,0.231,0.964,0.508,0.886
O+D,0.15,0.307,0.958,0.381,0.942
O+D,0.2,0.360,0.952,0.273,0.967
O+S+D,0.05,0.183,0.977,0.722,0.783
O+S+D,0.1,0.303,0.969,0.563,0.913
O+S+D,0.15,0.391,0.963,0.447,0.953
O+S+D,0.2,0.479,0.959,0.384,0.972
