n,min_risk,max_risk,observed_event_rate,mean_predicted_risk
15162.832743358724,0.0022011209034283,0.0999517909912239,0.03282742681133058,0.02921480041818259
1145.3256244973963,0.1000672678597886,0.1998574454858293,0.1799293311460235,0.1369348890513886
298.3462676010718,0.2004386475841914,0.2991327130926909,0.2666170043318567,0.24285006999348624
143.47029523401756,0.300981309732124,0.3999819418635607,0.44204797834642773,0.35030252744425794
69.1993156897552,0.4057508410380341,0.4994757254429566,0.5758412034249025,0.44788558527453115
48.41468285209758,0.5001077599999293,0.5999432170604357,0.8071016353230442,0.5522459687771601
40.428532770522985,0.6129121077305931,0.6981247193166711,0.6699956862668198,0.6545877430993206
57.28774664749579,0.7012893912579958,0.7989549626707427,0.6739577415746961,0.7496627115038679
62.57129762355436,0.8002732115704001,0.899601331362214,0.95735555847845,0.8484772554997853
37.12349372542056,0.9031623764960895,0.966349596439834,0.8562463941475412,0.9269024131406387
