n,min_risk,max_risk,observed_event_rate,mean_predicted_risk
15148.890106703244,0.0048918394917937,0.0999805513772387,0.03202533658133266,0.029539324564000553
1108.7743022780328,0.1000069669642193,0.199883397917828,0.17455420217183135,0.13640796124948054
327.2014306676214,0.2002509687094388,0.2999920978887635,0.3027500149901312,0.24344507164087703
151.921164860751,0.3001643414983615,0.3982680553230129,0.4203934950007124,0.33666835568138714
89.63589892451006,0.4003516933723871,0.4997770937763811,0.6427790997422967,0.44575779082242417
49.56291191728756,0.5026316255892626,0.5994875773336729,0.5962225675589611,0.544472742785118
45.36185068430474,0.6019496658861547,0.6971595249818971,0.6176508009663361,0.6530337666149685
55.35512011699189,0.7001220064921073,0.7979214993692891,0.8071854573310848,0.7520247659292403
52.520152994821224,0.8003258743331246,0.8989501170507448,0.9237915955033982,0.8544628022053286
35.77706085249277,0.9030385301155796,0.9579002992728388,0.9254181875521713,0.9253132347848709
