Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.647,0.028,0.940,0.018,0.020,1.000,0.025,0.991,0.035,0.984,--,0.981,ref
O+Q,0.653,0.183,0.975,0.018,0.020,0.996,0.025,0.992,0.037,0.986,0.094,0.981,0.046
S,0.561,-1.212,0.647,0.018,0.019,1.000,0.021,0.988,0.024,0.982,0.000,0.981,-0.328
O+S,0.623,-0.155,0.893,0.018,0.019,0.991,0.024,0.990,0.032,0.984,0.000,0.981,-0.218
O+Q+S,0.636,0.134,0.965,0.018,0.019,1.000,0.025,0.992,0.029,0.984,0.000,0.981,-0.076
