Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.020,1.000,1.000,0.083
O,0.01,0.025,0.991,0.816,0.393
O,0.02,0.035,0.984,0.299,0.840
O,0.05,--,0.981,0.000,1.000
O+Q,0.005,0.020,0.996,0.984,0.077
O+Q,0.01,0.025,0.992,0.851,0.375
O+Q,0.02,0.037,0.986,0.392,0.805
O+Q,0.05,0.094,0.981,0.016,0.997
S,0.005,0.019,1.000,1.000,0.007
S,0.01,0.021,0.988,0.836,0.261
S,0.02,0.024,0.982,0.233,0.821
S,0.05,0.000,0.981,0.000,0.999
O+S,0.005,0.019,0.991,0.979,0.046
O+S,0.01,0.024,0.990,0.795,0.383
O+S,0.02,0.032,0.984,0.317,0.817
O+S,0.05,0.000,0.981,0.000,0.999
O+Q+S,0.005,0.019,1.000,1.000,0.027
O+Q+S,0.01,0.025,0.992,0.851,0.365
O+Q+S,0.02,0.029,0.984,0.299,0.810
O+Q+S,0.05,0.000,0.981,0.000,0.997
