Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.705,-1.232,0.838,0.003,0.046,0.997,0.186,0.997,0.498,0.997,--,0.997,ref
O+S,0.981,1.075,1.338,0.003,0.134,0.998,0.150,0.997,0.134,0.997,0.234,0.997,1.826
O+D,0.721,-0.517,0.933,0.003,0.088,0.997,0.000,0.997,--,0.997,--,0.997,0.061
O+S+D,0.982,1.481,1.421,0.003,0.156,0.998,0.173,0.998,0.147,0.997,0.213,0.997,1.815
