threshold,strategy,net_benefit,model
0.12,Treat all,-0.13271225839321615,O+Q
0.13,Treat all,-0.14573193952417268,O+Q
0.14,Treat all,-0.15905440393724446,O+Q
0.15,Treat all,-0.17269033810121204,O+Q
0.16,Treat all,-0.1866509373643217,O+Q
0.17,Treat all,-0.20094793660967497,O+Q
0.18,Treat all,-0.21559364315369536,O+Q
0.19,Treat all,-0.23060097208151878,O+Q
0.2,Treat all,-0.24598348423253777,O+Q
0.21,Treat all,-0.2617554270709243,O+Q
0.22,Treat all,-0.2779317787000387,O+Q
0.23,Treat all,-0.29452829530653274,O+Q
0.24,Treat all,-0.31156156235003973,O+Q
0.25,Treat all,-0.3290490498480403,O+Q
0.26,Treat all,-0.3470091721432841,O+Q
0.27,Treat all,-0.36546135258360307,O+Q
0.28,Treat all,-0.3844260935917087,O+Q
0.29,Treat all,-0.4039250526563806,O+Q
0.3,Treat all,-0.42398112483718603,O+Q
0.31,Treat all,-0.4446185324435221,O+Q
0.32,Treat all,-0.4658629226265151,O+Q
0.33,Treat all,-0.4877414737104929,O+Q
0.34,Treat all,-0.510283011190955,O+Q
0.35,Treat all,-0.5335181344400465,O+Q
0.02,Treat none,0.0,O+Q
0.03,Treat none,0.0,O+Q
0.04,Treat none,0.0,O+Q
0.05,Treat none,0.0,O+Q
0.06,Treat none,0.0,O+Q
0.07,Treat none,0.0,O+Q
0.08,Treat none,0.0,O+Q
0.09,Treat none,0.0,O+Q
0.1,Treat none,0.0,O+Q
0.11,Treat none,0.0,O+Q
0.12,Treat none,0.0,O+Q
0.13,Treat none,0.0,O+Q
0.14,Treat none,0.0,O+Q
0.15,Treat none,0.0,O+Q
0.16,Treat none,0.0,O+Q
0.17,Treat none,0.0,O+Q
0.18,Treat none,0.0,O+Q
0.19,Treat none,0.0,O+Q
0.2,Treat none,0.0,O+Q
0.21,Treat none,0.0,O+Q
0.22,Treat none,0.0,O+Q
0.23,Treat none,0.0,O+Q
0.24,Treat none,0.0,O+Q
0.25,Treat none,0.0,O+Q
0.26,Treat none,0.0,O+Q
0.27,Treat none,0.0,O+Q
0.28,Treat none,0.0,O+Q
0.29,Treat none,0.0,O+Q
0.3,Treat none,0.0,O+Q
0.31,Treat none,0.0,O+Q
0.32,Treat none,0.0,O+Q
0.33,Treat none,0.0,O+Q
0.34,Treat none,0.0,O+Q
0.35,Treat none,0.0,O+Q
0.02,S,0.00023984194589194704,S
0.03,S,-7.439659655648532e-05,S
0.04,S,-5.0187641602019525e-05,S
0.05,S,-1.5848728926953538e-05,S
0.06,S,-3.844159782282346e-06,S
0.07,S,0.0,S
0.08,S,0.0,S
0.09,S,0.0,S
0.1,S,0.0,S
0.11,S,0.0,S
0.12,S,0.0,S
0.13,S,0.0,S
0.14,S,0.0,S
0.15,S,0.0,S
0.16,S,0.0,S
0.17,S,0.0,S
0.18,S,0.0,S
0.19,S,0.0,S
0.2,S,0.0,S
0.21,S,0.0,S
0.22,S,0.0,S
0.23,S,0.0,S
0.24,S,0.0,S
0.25,S,0.0,S
0.26,S,0.0,S
0.27,S,0.0,S
0.28,S,0.0,S
0.29,S,0.0,S
0.3,S,0.0,S
0.31,S,0.0,S
0.32,S,0.0,S
0.33,S,0.0,S
0.34,S,0.0,S
0.35,S,0.0,S
0.02,Treat all,-0.017129374883704307,S
0.03,Treat all,-0.027615244727866205,S
0.04,Treat all,-0.03831957019378149,S
0.05,Treat all,-0.04924924988003181,S
0.06,Treat all,-0.06041147594258534,S
0.07,Treat all,-0.07181374987745186,S
0.08,Treat all,-0.08346389933264153,S
0.09,Treat all,-0.09537009602860463,S
0.1,Treat all,-0.10754087487336692,S
0.11,Treat all,-0.11998515436632608,S
0.12,Treat all,-0.13271225839321615,S
0.13,Treat all,-0.14573193952417268,S
0.14,Treat all,-0.15905440393724446,S
0.15,Treat all,-0.17269033810121204,S
0.16,Treat all,-0.1866509373643217,S
0.17,Treat all,-0.20094793660967497,S
0.18,Treat all,-0.21559364315369536,S
0.19,Treat all,-0.23060097208151878,S
0.2,Treat all,-0.24598348423253777,S
0.21,Treat all,-0.2617554270709243,S
0.22,Treat all,-0.2779317787000387,S
0.23,Treat all,-0.29452829530653274,S
0.24,Treat all,-0.31156156235003973,S
0.25,Treat all,-0.3290490498480403,S
0.26,Treat all,-0.3470091721432841,S
0.27,Treat all,-0.36546135258360307,S
0.28,Treat all,-0.3844260935917087,S
0.29,Treat all,-0.4039250526563806,S
0.3,Treat all,-0.42398112483718603,S
0.31,Treat all,-0.4446185324435221,S
0.32,Treat all,-0.4658629226265151,S
0.33,Treat all,-0.4877414737104929,S
0.34,Treat all,-0.510283011190955,S
0.35,Treat all,-0.5335181344400465,S
0.02,Treat none,0.0,S
0.03,Treat none,0.0,S
0.04,Treat none,0.0,S
0.05,Treat none,0.0,S
0.06,Treat none,0.0,S
0.07,Treat none,0.0,S
0.08,Treat none,0.0,S
0.09,Treat none,0.0,S
0.1,Treat none,0.0,S
0.11,Treat none,0.0,S
0.12,Treat none,0.0,S
0.13,Treat none,0.0,S
0.14,Treat none,0.0,S
0.15,Treat none,0.0,S
0.16,Treat none,0.0,S
0.17,Treat none,0.0,S
0.18,Treat none,0.0,S
0.19,Treat none,0.0,S
0.2,Treat none,0.0,S
0.21,Treat none,0.0,S
0.22,Treat none,0.0,S
0.23,Treat none,0.0,S
0.24,Treat none,0.0,S
0.25,Treat none,0.0,S
0.26,Treat none,0.0,S
0.27,Treat none,0.0,S
0.28,Treat none,0.0,S
0.29,Treat none,0.0,S
0.3,Treat none,0.0,S
0.31,Treat none,0.0,S
0.32,Treat none,0.0,S
0.33,Treat none,0.0,S
0.34,Treat none,0.0,S
0.35,Treat none,0.0,S
0.02,O+S,0.00010403759482123564,O+S
0.03,O+S,0.00015647479795989822,O+S
0.04,O+S,2.0770277095876822e-05,O+S
0.05,O+S,3.693780082383447e-05,O+S
0.06,O+S,1.7427302572877534e-05,O+S
0.07,O+S,-1.8132309223955444e-05,O+S
0.08,O+S,-1.0473942595204075e-05,O+S
0.09,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.11,O+S,0.0,O+S
0.12,O+S,0.0,O+S
0.13,O+S,0.0,O+S
0.14,O+S,0.0,O+S
0.15,O+S,0.0,O+S
0.16,O+S,0.0,O+S
0.17,O+S,0.0,O+S
0.18,O+S,0.0,O+S
0.19,O+S,0.0,O+S
0.2,O+S,0.0,O+S
0.21,O+S,0.0,O+S
0.22,O+S,0.0,O+S
0.23,O+S,0.0,O+S
0.24,O+S,0.0,O+S
0.25,O+S,0.0,O+S
0.26,O+S,0.0,O+S
0.27,O+S,0.0,O+S
0.28,O+S,0.0,O+S
0.29,O+S,0.0,O+S
0.3,O+S,0.0,O+S
0.31,O+S,0.0,O+S
0.32,O+S,0.0,O+S
0.33,O+S,0.0,O+S
0.34,O+S,0.0,O+S
0.35,O+S,0.0,O+S
0.02,Treat all,-0.017129374883704307,O+S
0.03,Treat all,-0.027615244727866205,O+S
0.04,Treat all,-0.03831957019378149,O+S
0.05,Treat all,-0.04924924988003181,O+S
0.06,Treat all,-0.06041147594258534,O+S
0.07,Treat all,-0.07181374987745186,O+S
0.08,Treat all,-0.08346389933264153,O+S
0.09,Treat all,-0.09537009602860463,O+S
0.1,Treat all,-0.10754087487336692,O+S
0.11,Treat all,-0.11998515436632608,O+S
0.12,Treat all,-0.13271225839321615,O+S
0.13,Treat all,-0.14573193952417268,O+S
0.14,Treat all,-0.15905440393724446,O+S
0.15,Treat all,-0.17269033810121204,O+S
0.16,Treat all,-0.1866509373643217,O+S
0.17,Treat all,-0.20094793660967497,O+S
0.18,Treat all,-0.21559364315369536,O+S
0.19,Treat all,-0.23060097208151878,O+S
0.2,Treat all,-0.24598348423253777,O+S
0.21,Treat all,-0.2617554270709243,O+S
0.22,Treat all,-0.2779317787000387,O+S
0.23,Treat all,-0.29452829530653274,O+S
0.24,Treat all,-0.31156156235003973,O+S
0.25,Treat all,-0.3290490498480403,O+S
0.26,Treat all,-0.3470091721432841,O+S
0.27,Treat all,-0.36546135258360307,O+S
0.28,Treat all,-0.3844260935917087,O+S
0.29,Treat all,-0.4039250526563806,O+S
0.3,Treat all,-0.42398112483718603,O+S
0.31,Treat all,-0.4446185324435221,O+S
0.32,Treat all,-0.4658629226265151,O+S
0.33,Treat all,-0.4877414737104929,O+S
0.34,Treat all,-0.510283011190955,O+S
0.35,Treat all,-0.5335181344400465,O+S
0.02,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
