Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.046,0.997,0.093,0.994
O,0.1,0.186,0.997,0.056,0.999
O,0.15,0.498,0.997,0.056,1.000
O,0.2,--,0.997,0.000,1.000
O+S,0.05,0.134,0.998,0.481,0.990
O+S,0.1,0.150,0.997,0.204,0.996
O+S,0.15,0.134,0.997,0.093,0.998
O+S,0.2,0.234,0.997,0.074,0.999
O+D,0.05,0.088,0.997,0.074,0.998
O+D,0.1,0.000,0.997,0.000,1.000
O+D,0.15,--,0.997,0.000,1.000
O+D,0.2,--,0.997,0.000,1.000
O+S+D,0.05,0.156,0.998,0.518,0.991
O+S+D,0.1,0.173,0.998,0.222,0.997
O+S+D,0.15,0.147,0.997,0.074,0.999
O+S+D,0.2,0.213,0.997,0.056,0.999
