Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.749,0.692,1.197,0.055,0.132,0.971,0.213,0.960,0.331,0.953,0.433,0.947,ref
O+Q,0.831,0.424,1.101,0.046,0.196,0.979,0.314,0.968,0.443,0.962,0.523,0.958,0.819
S,0.727,0.644,1.188,0.055,0.134,0.968,0.218,0.958,0.305,0.950,0.401,0.946,-0.163
O+S,0.757,0.651,1.187,0.053,0.143,0.970,0.246,0.962,0.337,0.955,0.437,0.950,0.253
O+Q+S,0.831,0.605,1.183,0.046,0.192,0.978,0.319,0.970,0.446,0.963,0.567,0.960,0.833
