Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.132,0.971,0.702,0.684
O,0.1,0.213,0.960,0.458,0.884
O,0.15,0.331,0.953,0.308,0.957
O,0.2,0.433,0.947,0.195,0.982
O+Q,0.05,0.196,0.979,0.754,0.789
O+Q,0.1,0.314,0.968,0.558,0.916
O+Q,0.15,0.443,0.962,0.446,0.962
O+Q,0.2,0.523,0.958,0.375,0.977
S,0.05,0.134,0.968,0.660,0.709
S,0.1,0.218,0.958,0.432,0.894
S,0.15,0.305,0.950,0.263,0.959
S,0.2,0.401,0.946,0.184,0.981
O+S,0.05,0.143,0.970,0.680,0.721
O+S,0.1,0.246,0.962,0.475,0.900
O+S,0.15,0.337,0.955,0.351,0.953
O+S,0.2,0.437,0.950,0.246,0.978
O+Q+S,0.05,0.192,0.978,0.745,0.785
O+Q+S,0.1,0.319,0.970,0.581,0.915
O+Q+S,0.15,0.446,0.963,0.467,0.960
O+Q+S,0.2,0.567,0.960,0.400,0.979
