Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.007,0.997,0.229,0.878
O,0.01,0.000,0.996,0.000,0.983
O,0.02,--,0.996,0.000,1.000
O,0.05,--,0.996,0.000,1.000
O+Q,0.005,0.009,0.997,0.383,0.836
O+Q,0.01,0.007,0.996,0.077,0.960
O+Q,0.02,0.000,0.996,0.000,0.995
O+Q,0.05,--,0.996,0.000,1.000
S,0.005,0.010,0.997,0.153,0.943
S,0.01,0.000,0.996,0.000,0.994
S,0.02,0.000,0.996,0.000,0.999
S,0.05,--,0.996,0.000,1.000
O+S,0.005,0.007,0.997,0.229,0.882
O+S,0.01,0.015,0.996,0.076,0.981
O+S,0.02,0.000,0.996,0.000,0.998
O+S,0.05,--,0.996,0.000,1.000
O+Q+S,0.005,0.008,0.997,0.307,0.843
O+Q+S,0.01,0.017,0.997,0.153,0.965
O+Q+S,0.02,0.000,0.996,0.000,0.996
O+Q+S,0.05,--,0.996,0.000,1.000
