threshold,strategy,net_benefit,model
0.005,O,-3.011266273662963e-07,O
0.01,O,0.0,O
0.015,O,0.0,O
0.02,O,0.0,O
0.025,O,0.0,O
0.03,O,0.0,O
0.035,O,0.0,O
0.04,O,0.0,O
0.045,O,0.0,O
0.05,O,0.0,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,-0.003835724988285355,O
0.01,Treat all,-0.00890560238721609,O
0.015,Treat all,-0.014026950622684189,O
0.02,Treat all,-0.019200557513616254,O
0.025,Treat all,-0.024427227039327107,O
0.03,Treat all,-0.02970777975602467,O
0.035,Treat all,-0.035043053226263145,O
0.04,Treat all,-0.0404339024618166,O
0.045,Treat all,-0.04588120038046485,O
0.05,Treat all,-0.051385838277204145,O
0.055,Treat all,-0.056948726310416864,O
0.06,Treat all,-0.06257079400355736,O
0.065,Treat all,-0.06825299076293467,O
0.07,Treat all,-0.07399628641219778,O
0.075,Treat all,-0.07980167174415559,O
0.08,Treat all,-0.08567015909059122,O
0.085,Treat all,-0.09160278291075839,O
0.09,Treat all,-0.09760060039927904,O
0.095,Treat all,-0.10366469211419217,O
0.1,Treat all,-0.10979616262593771,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+S,-6.323659174692224e-06,O+S
0.01,O+S,0.0,O+S
0.015,O+S,0.0,O+S
0.02,O+S,0.0,O+S
0.025,O+S,0.0,O+S
0.03,O+S,0.0,O+S
0.035,O+S,0.0,O+S
0.04,O+S,0.0,O+S
0.045,O+S,0.0,O+S
0.05,O+S,0.0,O+S
0.055,O+S,0.0,O+S
0.06,O+S,0.0,O+S
0.065,O+S,0.0,O+S
0.07,O+S,0.0,O+S
0.075,O+S,0.0,O+S
0.08,O+S,0.0,O+S
0.085,O+S,0.0,O+S
0.09,O+S,0.0,O+S
0.095,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.005,Treat all,-0.003835724988285355,O+S
0.01,Treat all,-0.00890560238721609,O+S
0.015,Treat all,-0.014026950622684189,O+S
0.02,Treat all,-0.019200557513616254,O+S
0.025,Treat all,-0.024427227039327107,O+S
0.03,Treat all,-0.02970777975602467,O+S
0.035,Treat all,-0.035043053226263145,O+S
0.04,Treat all,-0.0404339024618166,O+S
0.045,Treat all,-0.04588120038046485,O+S
0.05,Treat all,-0.051385838277204145,O+S
0.055,Treat all,-0.056948726310416864,O+S
0.06,Treat all,-0.06257079400355736,O+S
0.065,Treat all,-0.06825299076293467,O+S
0.07,Treat all,-0.07399628641219778,O+S
0.075,Treat all,-0.07980167174415559,O+S
0.08,Treat all,-0.08567015909059122,O+S
0.085,Treat all,-0.09160278291075839,O+S
0.09,Treat all,-0.09760060039927904,O+S
0.095,Treat all,-0.10366469211419217,O+S
0.1,Treat all,-0.10979616262593771,O+S
0.005,Treat none,0.0,O+S
0.01,Treat none,0.0,O+S
0.015,Treat none,0.0,O+S
0.02,Treat none,0.0,O+S
0.025,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.035,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.045,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
0.055,Treat none,0.0,O+S
0.06,Treat none,0.0,O+S
0.065,Treat none,0.0,O+S
0.07,Treat none,0.0,O+S
0.075,Treat none,0.0,O+S
0.08,Treat none,0.0,O+S
0.085,Treat none,0.0,O+S
0.09,Treat none,0.0,O+S
0.095,Treat none,0.0,O+S
0.1,Treat none,0.0,O+S
0.005,O+D,5.998959312512031e-05,O+D
0.01,O+D,-1.3316488632420661e-05,O+D
0.015,O+D,-1.8251025029205978e-06,O+D
0.02,O+D,0.0,O+D
0.025,O+D,0.0,O+D
0.03,O+D,0.0,O+D
0.035,O+D,0.0,O+D
0.04,O+D,0.0,O+D
0.045,O+D,0.0,O+D
0.05,O+D,0.0,O+D
0.055,O+D,0.0,O+D
0.06,O+D,0.0,O+D
0.065,O+D,0.0,O+D
0.07,O+D,0.0,O+D
0.075,O+D,0.0,O+D
0.08,O+D,0.0,O+D
0.085,O+D,0.0,O+D
0.09,O+D,0.0,O+D
0.095,O+D,0.0,O+D
0.1,O+D,0.0,O+D
0.005,Treat all,-0.003835724988285355,O+D
0.01,Treat all,-0.00890560238721609,O+D
0.015,Treat all,-0.014026950622684189,O+D
0.02,Treat all,-0.019200557513616254,O+D
0.025,Treat all,-0.024427227039327107,O+D
0.03,Treat all,-0.02970777975602467,O+D
0.035,Treat all,-0.035043053226263145,O+D
0.04,Treat all,-0.0404339024618166,O+D
