,Feature,Gain
6,RangeA_stds,24.138545989990234
5,Area_stds,20.50149917602539
29,mean_std_spm,19.87873649597168
7,MedianFrequency_stds,19.06760025024414
0,MedianX_MAD_percentile_99,18.39211082458496
24,ExplainedVar_PC2_percentile_5,17.93471336364746
18,CentroidFrequency_stds,17.35201644897461
19,CentroidFrequency_percentile_5,16.318265914916992
10,PWR_stds,14.907187461853027
3,RMS_stds,14.529876708984375
21,FrequencyDispersion_percentile_95,13.64179515838623
2,MedianDistance_percentile_95,13.43876838684082
28,mean_spm,13.286710739135742
14,F95_stds,11.760151863098145
13,F50_percentile_5,11.748461723327637
23,ExplainedVar_PC2_stds,11.283878326416016
12,PWR_percentile_99,10.981950759887695
22,FrequencyDispersion_percentile_99,10.678226470947266
15,F95_percentile_85,10.648280143737793
1,MedianZ_MAD_percentile_15,10.503399848937988
9,MedianFrequency_percentile_15,10.429399490356445
8,MedianFrequency_percentile_5,10.338251113891602
11,PWR_percentile_95,9.480423927307129
27,ExplainedVar_PC3_percentile_50,9.474645614624023
25,ExplainedVar_PC2_percentile_15,9.44282341003418
20,FrequencyDispersion_stds,9.155134201049805
16,F95_percentile_95,9.071213722229004
4,Path_percentile_99,8.643497467041016
17,F95_percentile_99,8.587179183959961
26,ExplainedVar_PC2_percentile_95,8.210577011108398
